Date,Temperature,DewPoint,Humidity,SeaLvlPressure,Visibility,Wind
2014-11-23,67,48,62,29.64,10,5
2014-11-24,53,32,47,30.06,10,5
2014-11-25,53,33,53,30.26,10,3
2014-11-26,60,33,40,30.22,10,3
2014-11-27,53,33,52,30.45,10,4
2014-11-28,57,45,62,30.24,10,4
2014-11-29,65,57,75,30.02,10,7
2014-11-30,72,62,71,30.03,10,7
2014-12-01,54,42,69,30.31,10,6
2014-12-02,45,32,63,30.33,10,4
2014-12-03,54,50,88,30.18,7,1
2014-12-04,62,61,94,30.11,3,3
2014-12-05,69,64,82,30.08,8,5
2014-12-06,62,51,72,30.32,10,6
2014-12-07,54,48,83,30.33,10,4
2014-12-08,58,46,69,30.32,10,3
2014-12-09,56,45,70,30.31,8,1
2014-12-10,57,50,75,30.2,9,1
2014-12-11,62,57,85,30.18,7,5
2014-12-12,65,57,78,30.23,10,5
2014-12-13,65,57,79,30.15,9,5
2014-12-14,68,62,82,29.94,9,6
2014-12-15,63,51,58,29.99,10,5
2014-12-16,55,34,47,30.28,10,5
2014-12-17,51,44,75,30.14,8,4
2014-12-18,55,51,92,30.1,4,3
2014-12-19,53,48,89,30.12,7,7
2014-12-20,52,45,82,30.21,9,3
2014-12-21,53,49,83,30.02,9,5
2014-12-22,67,52,63,29.7,10,5
2014-12-23,51,40,66,29.81,10,8
2014-12-24,46,32,62,30.11,10,6
2014-12-25,49,33,61,30.05,10,6
2014-12-26,64,57,83,29.93,9,5
2014-12-27,54,49,79,30.09,8,8
2014-12-28,40,30,71,30.25,10,4
2014-12-29,49,36,68,30.14,10,2
2014-12-30,43,40,87,30.36,6,6
2014-12-31,39,29,70,30.48,10,8
2015-01-01,37,35,82,30.25,3,5
2015-01-02,41,39,95,30.08,4,5
2015-01-03,51,40,74,29.99,8,3
2015-01-04,43,30,69,30.48,10,7
2015-01-05,41,23,54,30.6,10,4
2015-01-06,54,32,50,30.38,10,2
2015-01-07,41,27,54,30.58,10,9
2015-01-08,30,12,48,30.54,10,5
2015-01-09,36,26,62,30.48,10,6
2015-01-10,34,31,76,30.42,4,3
2015-01-11,42,39,90,30.21,7,3
2015-01-12,43,41,88,30.28,5,5
2015-01-13,39,33,83,30.43,7,7
2015-01-14,39,36,86,30.33,4,5
2015-01-15,49,36,68,30.33,9,4
2015-01-16,51,38,64,30.29,10,3
2015-01-17,54,40,63,30.13,10,3
2015-01-18,59,30,37,30.28,10,3
2015-01-19,56,41,59,30.04,10,3
2015-01-20,61,44,59,29.94,10,3
2015-01-21,53,50,84,30.07,5,6
2015-01-22,47,46,91,30.07,4,10
2015-01-23,45,38,77,30.26,8,6
2015-01-24,50,36,62,30.2,10,4
2015-01-25,57,34,53,30.11,10,6
2015-01-26,60,37,43,30.21,10,5
2015-01-27,67,40,47,30.15,10,6
2015-01-28,62,42,60,30.12,10,4
2015-01-29,66,49,68,30.22,10,4
2015-01-30,53,36,52,30.37,10,6
2015-01-31,56,51,80,30.04,5,4
2015-02-01,59,54,77,29.98,8,7
2015-02-02,41,24,48,30.35,10,6
2015-02-03,42,37,76,30.27,6,2
2015-02-04,49,45,92,30.13,5,2
2015-02-05,45,35,77,30.38,10,7
2015-02-06,49,38,69,30.37,10,3
2015-02-07,55,46,71,30.08,8,5
2015-02-08,68,56,72,29.9,10,6
2015-02-09,68,44,49,30.07,10,3
2015-02-10,64,44,57,29.99,10,4
2015-02-11,65,49,64,30.03,7,5
2015-02-12,53,34,51,30.35,10,7
2015-02-13,55,38,58,30.31,10,2
2015-02-14,63,47,60,30.22,10,3
2015-02-15,63,58,80,30.02,10,5
2015-02-16,51,39,79,30.03,8,9
2015-02-17,45,27,59,30.25,10,7
2015-02-18,49,29,56,30.31,10,4
2015-02-19,54,40,61,30.25,10,5
2015-02-20,65,56,72,29.92,10,9
2015-02-21,67,56,69,29.88,10,6
2015-02-22,47,44,80,30.14,8,7
2015-02-23,34,29,87,30.45,7,9
2015-02-24,34,29,84,30.24,8,4
2015-02-25,49,34,64,29.94,8,3
2015-02-26,43,31,74,30.19,10,7
2015-02-27,34,25,72,30.38,8,7
2015-02-28,34,31,93,30.31,5,5
2015-03-01,39,38,95,30.29,4,6
2015-03-02,42,40,95,30.28,5,4
2015-03-03,52,49,95,29.98,2,1
2015-03-04,52,56,95,29.9,4,6
2015-03-05,39,25,61,30.45,9,10
2015-03-06,42,23,54,30.56,10,2
2015-03-07,49,30,56,30.4,10,2
2015-03-08,51,48,69,30.17,3,3
2015-03-09,52,49,97,29.96,5,4
2015-03-10,57,50,78,30.04,10,4
2015-03-11,57,50,79,30.2,10,6
2015-03-12,63,52,73,30.1,10,5
2015-03-13,66,52,68,30,8,3
2015-03-14,66,49,61,30.1,10,6
2015-03-15,60,51,72,30.26,10,3
2015-03-16,65,56,73,30.21,9,3
2015-03-17,70,63,82,30.11,8,3
2015-03-18,71,61,74,29.99,10,4
2015-03-19,73,64,79,29.95,8,5
2015-03-20,64,61,89,30.09,6,4
2015-03-21,58,56,95,30.08,7,4
2015-03-22,68,57,75,30.03,10,4
2015-03-23,66,56,73,30.06,10,3
2015-03-24,71,60,72,29.97,10,7
2015-03-25,73,61,72,29.91,10,8
2015-03-26,62,48,62,30.03,9,10
2015-03-27,64,36,44,30.15,10,4
2015-03-28,66,44,54,30.08,10,5
2015-03-29,71,56,67,30.06,10,8
2015-03-30,72,62,76,30.11,10,5
2015-03-31,74,62,74,30,10,7
2015-04-01,76,65,71,29.92,9,7
2015-04-02,76,66,76,29.9,8,8
2015-04-03,76,62,67,29.98,8,7
2015-04-04,63,44,53,30.24,10,8
2015-04-05,64,59,78,30,5,4
2015-04-06,75,65,76,29.94,8,7
2015-04-07,78,65,71,29.96,10,8
2015-04-08,74,67,81,29.92,9,8
2015-04-09,79,67,73,29.86,9,7
2015-04-10,65,53,70,30.08,10,5
2015-04-11,65,62,86,30.04,5,3
2015-04-12,75,67,81,29.91,5,5
2015-04-13,76,65,67,29.86,8,4
2015-04-14,67,55,67,30.04,10,6
2015-04-15,69,56,69,29.97,10,4
2015-04-16,74,66,78,29.91,9,4
2015-04-17,71,65,81,29.92,8,4
2015-04-18,66,63,82,29.87,8,4
2015-04-19,73,58,60,29.8,7,6
2015-04-20,64,43,48,29.98,10,6
2015-04-21,66,53,66,29.95,10,5
2015-04-22,74,65,79,29.89,10,7
2015-04-23,77,69,85,29.87,8,4
2015-04-24,77,72,85,29.82,6,5
2015-04-25,82,64,61,29.74,7,5
2015-04-26,78,69,77,29.65,8,8
2015-04-27,74,62,66,29.68,9,4
2015-04-28,59,52,74,29.98,10,8
2015-04-29,63,45,61,30.05,10,5
2015-04-30,67,49,60,29.99,10,3
2015-05-01,70,52,60,30.02,10,2
2015-05-02,71,53,58,30.02,10,4
2015-05-03,71,58,67,29.98,10,6
2015-05-04,75,63,71,30.02,10,8
2015-05-05,75,67,77,29.95,6,7
2015-05-06,79,69,74,29.91,8,8
2015-05-07,78,71,81,29.87,9,9
2015-05-08,76,73,88,29.87,5,6
2015-05-09,79,71,79,29.82,7,9
2015-05-10,82,71,71,29.8,9,10
2015-05-11,74,67,78,29.99,7,5
2015-05-12,67,65,91,30.14,8,5
2015-05-13,67,66,97,30.08,5,4
2015-05-14,78,71,83,30.03,6,5
2015-05-15,72,68,87,29.95,8,4
2015-05-16,77,70,79,29.85,9,9
2015-05-17,75,68,83,29.94,6,5
2015-05-18,81,72,77,30.03,9,5
2015-05-19,82,72,73,29.99,8,8
2015-05-20,81,72,75,29.94,8,5
2015-05-21,69,63,84,30.08,10,6
2015-05-22,70,67,91,30.08,6,4
2015-05-23,77,71,83,30.02,6,7
2015-05-24,73,68,81,29.89,10,6
2015-05-25,74,69,87,29.84,7,5
2015-05-26,78,69,80,29.95,6,6
2015-05-27,76,70,82,30.03,9,5
2015-05-28,78,73,80,30.01,8,6
2015-05-29,77,66,76,29.95,8,5
2015-05-30,79,68,74,30,10,2
2015-05-31,77,64,67,30.06,10,2
2015-06-01,76,65,70,30.03,10,2
2015-06-02,79,66,70,29.96,10,2
2015-06-03,78,66,69,29.91,10,5
2015-06-04,78,66,68,29.95,10,4
2015-06-05,80,68,72,30,10,4
2015-06-06,80,67,72,29.97,10,3
2015-06-07,81,67,71,29.94,10,4
2015-06-08,82,68,67,29.95,10,3
2015-06-09,84,67,60,29.89,10,3
2015-06-10,83,68,62,29.83,10,4
2015-06-11,84,70,71,29.8,10,7
2015-06-12,84,73,70,29.82,10,6
2015-06-13,85,72,70,29.84,10,7
2015-06-14,79,73,87,29.89,8,6
2015-06-15,82,73,78,29.93,9,4
2015-06-16,78,73,84,29.9,8,7
2015-06-17,81,74,83,29.85,7,5
2015-06-18,82,73,82,29.95,10,4
2015-06-19,78,73,87,30.02,8,1
2015-06-20,78,73,90,30.02,8,3
2015-06-21,79,75,85,30.03,7,4
2015-06-22,81,74,84,30.06,9,5
2015-06-23,84,73,73,30.1,10,5
2015-06-24,83,73,78,30.12,10,3
2015-06-25,83,72,76,30.06,10,4
2015-06-26,85,73,73,29.98,10,6
2015-06-27,83,73,75,29.99,10,1
2015-06-28,82,73,73,30,9,2
2015-06-29,84,72,75,29.97,9,5
2015-06-30,84,73,76,30.01,7,4
2015-07-01,81,71,78,30.01,10,4
2015-07-02,81,71,78,29.98,10,6
2015-07-03,84,72,69,29.96,9,6
2015-07-04,84,73,73,29.98,10,7
2015-07-05,84,73,75,30,10,7
2015-07-06,84,72,72,29.99,9,8
2015-07-07,85,73,71,29.95,10,8
2015-07-08,85,72,69,29.98,9,8
2015-07-09,85,71,65,30.03,9,8
2015-07-10,84,70,68,30.06,9,6
2015-07-11,83,70,69,30.1,10,5
2015-07-12,84,71,67,30.05,10,5
2015-07-13,86,71,69,29.93,10,5
2015-07-14,86,69,61,29.87,10,6
2015-07-15,85,70,64,29.91,10,6
2015-07-16,85,70,69,29.95,10,6
2015-07-17,86,72,66,29.94,10,7
2015-07-18,88,72,65,29.96,10,7
2015-07-19,87,72,65,29.97,10,6
2015-07-20,86,71,66,29.93,10,5
2015-07-21,86,71,66,29.88,10,6
2015-07-22,87,72,64,29.89,10,7
2015-07-23,88,70,62,29.95,10,7
2015-07-24,88,71,62,29.98,10,6
2015-07-25,87,70,66,29.95,10,5
2015-07-26,87,72,67,29.89,9,6
2015-07-27,89,72,62,29.9,9,6
2015-07-28,89,71,63,29.93,9,8
2015-07-29,89,71,61,29.99,10,6
2015-07-30,88,66,55,30.01,10,2
2015-07-31,90,68,52,29.97,10,4
2015-08-01,86,61,47,29.94,10,3
2015-08-02,88,61,48,29.88,10,3
2015-08-03,87,64,54,29.86,10,4
2015-08-04,89,70,62,29.9,10,6
2015-08-05,90,71,59,29.93,10,7
2015-08-06,90,71,59,29.89,10,7
2015-08-07,89,70,61,29.87,10,6
2015-08-08,90,73,66,29.86,10,10
2015-08-09,89,70,62,29.9,10,6
2015-08-10,90,71,59,29.93,10,7
2015-08-11,90,71,59,29.89,10,7
2015-08-12,92,68,43,29.95,10,3
2015-08-13,91,67,51,29.94,10,3
2015-08-14,90,69,58,29.95,10,4
2015-08-15,89,66,54,29.96,10,3
2015-08-16,87,67,58,29.93,10,4
2015-08-17,86,68,61,29.91,10,4
2015-08-18,88,70,62,29.84,10,7
2015-08-19,89,72,62,29.8,10,6
2015-08-20,79,71,78,29.94,8,4
2015-08-21,82,71,73,29.96,9,5
2015-08-22,87,73,65,29.92,10,6
2015-08-23,89,72,64,29.97,10,5
2015-08-24,89,68,58,30,10,2
2015-08-25,89,68,56,30.01,10,3
2015-08-26,86,68,62,30.05,10,3
2015-08-27,86,64,56,30.01,10,4
2015-08-28,85,60,50,29.95,10,4
2015-08-29,83,63,55,29.98,10,3
2015-08-30,86,65,55,29.97,10,3
2015-08-31,86,67,59,29.97,10,5
2015-09-01,84,69,64,30,10,5
2015-09-02,83,67,65,30.01,10,4
2015-09-03,84,69,64,29.92,10,3
2015-09-04,88,72,62,29.91,10,6
2015-09-05,90,73,62,29.95,10,7
2015-09-06,88,71,63,29.95,10,6
2015-09-07,88,70,61,29.91,10,6
2015-09-08,88,71,61,29.89,10,5
2015-09-09,84,73,74,29.91,8,3
2015-09-10,84,73,71,29.91,7,2
2015-09-11,84,73,72,29.92,8,3
2015-09-12,80,57,55,30.02,10,5
2015-09-13,77,51,49,30.02,10,4
2015-09-14,77,57,53,30.01,10,5
2015-09-15,84,70,67,30.02,10,5
2015-09-16,84,72,72,30.05,9,6
2015-09-17,86,71,67,29.99,10,6
2015-09-18,86,70,64,29.88,10,6
2015-09-19,85,68,60,29.92,10,3
2015-09-20,86,71,67,29.99,10,6
2015-09-21,86,70,64,29.88,10,6
2015-09-22,84,64,56,29.98,10,4
2015-09-23,81,62,58,29.99,10,2
2015-09-24,82,58,49,29.99,10,2
2015-09-25,84,64,58,30,10,2
2015-09-26,82,59,54,29.93,10,3
2015-09-27,81,59,50,29.87,10,2
2015-09-28,79,63,64,29.83,10,3
2015-09-29,81,64,63,29.86,10,2
2015-09-30,83,62,56,29.94,10,2
2015-10-01,82,60,52,30,9,4
2015-10-02,78,50,45,29.97,10,5
2015-10-03,72,43,40,29.88,10,3
2015-10-04,73,47,45,29.95,10,2
2015-10-05,76,52,45,30.03,10,2
2015-10-06,77,53,44,30.07,10,3
2015-10-07,77,58,54,30.02,10,3
2015-10-08,80,64,64,30,10,3
2015-10-09,80,64,62,30.07,10,2
2015-10-10,79,59,56,30.11,10,3
2015-10-11,80,61,55,29.92,10,4
2015-10-12,86,67,62,29.78,9,6
2015-10-13,79,45,45,29.96,10,5
2015-10-14,78,41,36,30.03,10,3
2015-10-15,79,56,55,30.06,10,4
2015-10-16,76,56,60,30.15,10,2
2015-10-17,75,48,46,30.22,10,4
